"UK-AIR ID","EU Site ID","EMEP Site ID","Site Name","Environment Type","Zone","Start Date","End Date","Latitude","Longitude","Northing","Easting","Altitude (m)","Networks","AURN Pollutants Measured","Site Description"
"UKA00933","GB1375A","","Aberdeen Erroll Park","Urban Background","North East Scotland","2021-10-01","","57.157400","-2.094770","807396.47","394366.05","20","Automatic Urban and Rural Monitoring Network (AURN)","",""
"UKA00615","GB1057A","","Aberdeen Wellington Road","Urban Traffic","North East Scotland","2016-02-09","","57.133888","-2.094198","804779.00","394397.00","19","Automatic Urban and Rural Monitoring Network (AURN); UK Urban NO2 Network","","This site is situated approximately 2m from the roadside on Wellington Road, Adjacent to 117 Menzies Road, Aberdeen "
"UKA00541","GB0996A","","Armagh Roadside","Urban Traffic","Northern Ireland","2009-01-01","","54.353728","-6.654558","505347.21","97683.90","41","Automatic Urban and Rural Monitoring Network (AURN); PAH Digitel (solid phase)","","The monitoring station is within a self-contained, air-conditioned housing at the junction of Railway Street and the A29 Lonsdale Road. The immediate area is residential with commercial and light industrial areas nearby. The monitoring station is located approximately 4.5 metres from the kerb."
"UKA01118","GB1560A","","Ashington Centre","Urban Background","North East","2025-12-22","","55.182956","-1.567043","587715.10","427668.30","39","Automatic Urban and Rural Monitoring Network (AURN)","",""
"UKA00137","GB0031R","GB0031R","Aston Hill","Rural Background","North Wales","1986-06-26","","52.503850","-3.034178","290053.08","329898.90","370","Automatic Urban and Rural Monitoring Network (AURN)","","The monitoring station is within a self-contained, air conditioned housing located in a field on the Welsh-English border. The nearest road is an access-only road for nearby farm buildings and is approximately 400 metres from the monitoring station. The surrounding area is rural and generally open with the nearest trees approximately 50 metres distance from the station."
"UKA00451","GB0048R","GB0048R","Auchencorth Moss","Rural Background","Central Scotland","2003-01-01","","55.792160","-3.242900","656128.11","322165.87","260","Automatic Hydrocarbon Network; Automatic Urban and Rural Monitoring Network (AURN); Black Carbon; Heavy Metals; PAH Deposition; PAH Digitel (solid phase); Particle Size Composition; Rural Automatic Mercury network; TOMPs; UKEAP: Acid Gases & Aerosol Network; UKEAP: MARGA Network; UKEAP: National Ammonia Monitoring Network; UKEAP: Precip-Net; UKEAP: Precip-Net; UKEAP: Rural NO2","","The monitoring station is within a self-contained housing, located in an elevated rural environment, 1.5 kilometres north west of the A701 at Leadburn and 18 kilometres south of Edinburgh city centre."
"UKA01109","GB1551A","","Aylesbury A4157","Urban Traffic","South East","2025-08-11","","51.822161","-0.793884","214414.00","483226.00","84","Automatic Urban and Rural Monitoring Network (AURN)","","The site is located in a residential area on the verge of the A4157 on the outskirts of Aylesbury, with farmland to the north."
"UKA00633","GB1074A","","Ballymena Antrim Road","Urban Traffic","Northern Ireland","2017-04-01","","54.851491","-6.274961","559121.00","125704.00","53","Automatic Urban and Rural Monitoring Network (AURN)","","Roadside monitoring station beside the Antrim Road, located on the east side of the road just south of Lettercreeve. Located in a residential area to the south of Ballymena town centre. The monitoring station is located approximately 3.8 metres from the kerb."
"UKA00503","GB0934A","","Ballymena Ballykeel","Urban Background","Northern Ireland","2007-01-11","","54.861595","-6.250873","560150.05","127317.09","59","Automatic Urban and Rural Monitoring Network (AURN); Black Carbon; PAH Digitel (solid phase)","","The monitoring station is within a self-contained, air-conditioned housing on Orkney Road at the rear of a housing development off of Old Crebilly Road. The surrounding area is urban residential. The monitoring station is approimately 50 metres West of the M2 motorway."
"UKA00353","GB0681A","","Barnsley Gawber","Urban Background","Yorkshire & Humberside","1997-07-07","","53.562920","-1.510436","407478.45","432524.22","100","Automatic Urban and Rural Monitoring Network (AURN); Black Carbon; Non-Automatic Hydrocarbon Network","","The monitoring station is within a free-standing enclosure located on the edge of a sports field surrounded on two sides by residential properties. The site is situated approximately 290 metres from the nearest main road, Wilthorpe Road (A635). The surrounding area comprises of open space and nearby residential premises."
"UKA00574","GB1029A","","Barnstaple A39","Urban Traffic","South West","2013-11-14","","51.074793","-4.041924","132591.00","257048.00","13","Automatic Urban and Rural Monitoring Network (AURN)","","The monitoring station lies within a self-contained air conditioned mobile unit along the roadside of A39 -Eastern Avenue, 1.2 km east of Barnstaple town centre. Located in the vicinity of the Howard Avenue industrial units. The surrounding area comprises residential houses, and some industry. The Whiddon Valley Industrial Estate and the major road A361 lie 100m and 750m to the south east respectively. The monitoring station is located approximately 6 metres from the kerb."
"UKA00660","GB1101A","","Bath A4 Roadside","Urban Traffic","South West","2019-10-24","","51.390922","-2.355030","165825.00","375394.00","27","Automatic Urban and Rural Monitoring Network (AURN); Non-Automatic Hydrocarbon Network; UK Urban NO2 Network","","Roadside monitoring station beside A4 London Road, between Thomas Street and Snow Hill. The monitoring station is located approximately 3 metres from the kerb."
"UKA00212","GB0567A","","Belfast Centre","Urban Background","Belfast Metropolitan Urban Area","1992-03-08","","54.599650","-5.928833","529816.59","146337.91","10","Automatic Urban and Rural Monitoring Network (AURN); Black Carbon; Heavy Metals; Non-Automatic Hydrocarbon Network; UKEAP: National Ammonia Monitoring Network","","The monitoring station is within a self-contained, air-conditioned housing located at the junction between Lombard Street and High Street in a pedestrian precinct. The site is approximately 15 metres from the road junction. The surrounding area is built-up and comprises urban retail and business premises typically five-storeys high which create street canyons."
"UKA00594","GB1036A","","Belfast Stockman's Lane","Urban Traffic","Belfast Metropolitan Urban Area","2014-06-07","","54.572586","-5.974944","526975.07","143190.78","9","Automatic Urban and Rural Monitoring Network (AURN)","","The monitoring station is within a self-contained air conditioned mobile unit along the road side of A55 -   Stockman's Lane road, in the south western outskirts of Belfast's city centre, near the northern edge of Musgrave Park. The surrounding area is mainly open to the south. A small residential area surrounds the site from the north. Shane Retail Park lies at 55 meters to the Northeast, and the M1 motorway - 150 meters to the northwest. The monitoring station is located approximately 3.5 metres from the kerb."
"UKA00625","GB1066A","","Birkenhead Borough Road","Urban Traffic","Birkenhead Urban Area","2016-08-18","","53.388624","-3.024942","388465.66","331931.40","7","Automatic Urban and Rural Monitoring Network (AURN); UK Urban NO2 Network","","Roadside monitoring station beside a dual carriageway section of the A552 Borough Road, approaching the centre of Birkenhead. Located at the end of Lowwood Grove. There are houses on the south side of the road (next to the monitoring station) and a shopping centre on the opposite side. The monitoring station is located approximately 4.2 metres from the kerb."
"UKA00626","GB1067A","","Birmingham A4540 Roadside","Urban Traffic","West Midlands Urban Area","2016-09-06","","52.476145","-1.874978","286475.70","408588.74","109","Automatic Urban and Rural Monitoring Network (AURN); Black Carbon; Non-Automatic Hydrocarbon Network; UK Urban NO2 Network","","Roadside monitoring station beside the A4540 (Watery Lane Middleway) which forms part of Birmingham's ring road. Located at the end of Keeley Street. The monitoring station is located approximately 6.5 metres from the kerb."
"UKA01062","GB1504A","","Birmingham Hall Green","Urban Background","West Midlands Urban Area","2024-09-12","","52.437553","-1.830956","282189.01","411588.80","136","Automatic Urban and Rural Monitoring Network (AURN)","","Urban background location near sports field, in grounds of Fox Hollies Leisure Centre, Hall Green."
"UKA00655","GB1097A","","Birmingham Ladywood","Urban Background","West Midlands Urban Area","2018-06-01","","52.481346","-1.918235","287050.00","405650.00","134","Automatic Urban and Rural Monitoring Network (AURN); Black Carbon; Non-Automatic Hydrocarbon Network; PAH Digitel (solid phase)","",""
"UKA01108","GB1550A","","Birmingham University","Urban Background","West Midlands Urban Area","2025-07-09","","52.455515","-1.928937","284176.00","404926.00","","Automatic Urban and Rural Monitoring Network (AURN)","",""
"UKA00590","GB1032A","","Blackburn Accrington Road","Urban Traffic","North West & Merseyside","2014-05-12","","53.747763","-2.452680","428027.47","370244.69","142","Automatic Urban and Rural Monitoring Network (AURN); UK Urban NO2 Network","","The monitoring station is within a self-contained air conditioned mobile unit along the road side of A679 -Accrington road, in the western outskirts of Blackburn's city centre. Located in the vicinity of Accrington Road Community Centre. The surrounding area comprises residential houses, in an urban environment. The M65 motorway lies 1.5 km to the east. The monitoring station is located approximately 2.5 metres from the kerb."
"UKA01025","GB1467A","","Blackburn Audley Park","Urban Background","North West & Merseyside","2023-09-01","","53.746730","-2.467873","427919.00","369242.00","140","Automatic Urban and Rural Monitoring Network (AURN); Black Carbon","","This is an urban background monitoring station in Audley Park, Blackburn. Surroundings are mostly residential."
"UKA00488","GB0882A","","Blackpool Marton","Urban Background","Blackpool Urban Area","2005-06-14","","53.804890","-3.007175","434758.92","333768.44","16","Automatic Urban and Rural Monitoring Network (AURN)","","The monitoring station is located on school grounds next to playing fields with some nearby residential properties. The station is located approximately 40 metres from the closest road, which is a residential access road. The site is located 260 metres from a major road (A583 Preston New Road)."
"UKA01049","GB1491A","","Blackpool Whitegate Drive","Urban Traffic","Blackpool Urban Area","2024-11-07","","53.810975","-3.033232","435460.60","332062.30","17","Automatic Urban and Rural Monitoring Network (AURN)","","Pavement of Whitegate Drive (A593) where it passes through a residential area of Blackpool. 1.5 km from the coast."
"UKA00644","GB1086A","","Borehamwood Meadow Park","Urban Background","Eastern","2017-10-01","","51.661229","-0.270550","197243.17","519717.85","89","Automatic Urban and Rural Monitoring Network (AURN)","","Located near a bowling club in a residential part of Borehamwood, Hertfordshire. Surrounded by residential areas and parkland. The nearest road is 137m from the site."
"UKA00429","GB0741A","","Bournemouth","Urban Background","Bournemouth Urban Area","2001-03-05","","50.739570","-1.826744","93343.15","412321.91","30","Automatic Urban and Rural Monitoring Network (AURN)","","The monitoring station is within a self contained air conditioned mobile unit within the grounds of Porchester School. The nearest main road is the A338 Wessex Way approximately 770m from the site. The nearest residential road, Shepherds Way, is 48m from the site."
"UKA00611","GB1053A","","Bradford Mayo Avenue","Urban Traffic","West Yorkshire Urban Area","2015-04-24","","53.771245","-1.759774","430571.56","415930.92","187","Automatic Urban and Rural Monitoring Network (AURN); UK Urban NO2 Network","","Roadside monitoring station in front of houses on the A6177, Mayo Avenue, which forms part of Bradford's ring road. Located in the vicinity of Raymond Street. The monitoring station is located approximately 3 metres from the kerb."
"UKA01090","GB1531A","","Bradford Shipley Airedale Road","Urban Traffic","West Yorkshire Urban Area","2024-12-03","","53.795169","-1.743742","433237.00","416978.00","121","Automatic Urban and Rural Monitoring Network (AURN); Black Carbon","","Roadside monitoring site beside the A650 Shipley Airedale Road, to the east of the city centre. Mixed commercial, industrial and residential surroundings: close to several blocks of flats."
"UKA01120","GB1562A","","Bridgwater A372 Westonzoyland","Urban Traffic","South West","2025-01-19","","51.125113","-2.984988","136665.00","331165.00","7","Automatic Urban and Rural Monitoring Network (AURN)","",""
"UKA00483","GB0860A","","Brighton Preston Park","Urban Background","Brighton/Worthing/Littlehampton","2004-11-03","","50.840836","-0.147572","106224.60","530523.94","10","Automatic Urban and Rural Monitoring Network (AURN)","","The monitoring station is located inside the Pavilion Building within Preston Park. The nearest road is London Road (A23), which is approximately 190m from the monitoring station. The manifold inlet is located on the roof of the pavilion building. The surrounding area is open urban parkland and comprises of public playing fields and recreational areas with a few mature trees within 5-10 metres of the monitoring station."
