"Category","PM<sub>2.5</sub> particulates"
"20/1/2025 0:00",21.23
"20/1/2025 1:00",18.14
"20/1/2025 2:00",15.6
"20/1/2025 3:00",12.58
"20/1/2025 4:00",14.01
"20/1/2025 5:00",12.9
"20/1/2025 6:00",12.76
"20/1/2025 7:00",12.31
"20/1/2025 8:00",11.38
"20/1/2025 9:00",11.73
"20/1/2025 10:00",13.21
"20/1/2025 11:00",11.83
"20/1/2025 12:00",14.25
"20/1/2025 13:00",9.34
"20/1/2025 14:00",11.19
"20/1/2025 15:00",17.61
"20/1/2025 16:00",16.17
"20/1/2025 17:00",20.35
"20/1/2025 18:00",30.39
"20/1/2025 19:00",31.21
"20/1/2025 20:00",26.86
"20/1/2025 21:00",23.92
"20/1/2025 22:00",22.85
"20/1/2025 23:00",21.88
"21/1/2025 0:00",18.23
"21/1/2025 1:00",17.54
"21/1/2025 2:00",17.34
"21/1/2025 3:00",20.76
"21/1/2025 4:00",18.89
"21/1/2025 5:00",12.72
"21/1/2025 6:00",12.6
"21/1/2025 7:00",14.68
"21/1/2025 8:00",14.89
"21/1/2025 9:00",18.93
"21/1/2025 10:00",26.08
"21/1/2025 11:00",17.03
"21/1/2025 12:00",13.16
"21/1/2025 13:00",14.08
"21/1/2025 14:00",13.96
"21/1/2025 15:00",8.27
"21/1/2025 16:00",13.05
"21/1/2025 17:00",14.8
"21/1/2025 18:00",15.58
"21/1/2025 19:00",15.91
"21/1/2025 20:00",18.96
"21/1/2025 21:00",25.89
"21/1/2025 22:00",25.39
"21/1/2025 23:00",26
"22/1/2025 0:00",18.43
"22/1/2025 1:00",23.8
"22/1/2025 2:00",19.74
"22/1/2025 3:00",18.57
"22/1/2025 4:00",22.92
"22/1/2025 5:00",23.75
"22/1/2025 6:00",22.96
"22/1/2025 7:00",18.66
"22/1/2025 8:00",17.08
"22/1/2025 9:00",18.82
"22/1/2025 10:00",22.86
"22/1/2025 11:00",21.28
"22/1/2025 12:00",20.09
"22/1/2025 13:00",26.45
"22/1/2025 14:00",30.57
"22/1/2025 15:00",29.2
"22/1/2025 16:00",21.6
"22/1/2025 17:00",28.36
"22/1/2025 18:00",22.46
"22/1/2025 19:00",18.24
"22/1/2025 20:00",21.6
"22/1/2025 21:00",22.66
"22/1/2025 22:00",24.52
"22/1/2025 23:00",26.52
"23/1/2025 0:00",29.02
"23/1/2025 1:00",28.07
"23/1/2025 2:00",27.25
"23/1/2025 3:00",26.48
"23/1/2025 4:00",24.8
"23/1/2025 5:00",22.14
"23/1/2025 6:00",19.12
"23/1/2025 7:00",10.5
"23/1/2025 8:00",10.41
"23/1/2025 9:00",9.29
"23/1/2025 10:00",6.21
"23/1/2025 11:00",4.61
"23/1/2025 12:00",5.14
"23/1/2025 13:00",5.94
"23/1/2025 14:00",4.33
"23/1/2025 15:00",5.61
"23/1/2025 16:00",4.28
"23/1/2025 17:00",5.93
"23/1/2025 18:00",8.53
"23/1/2025 19:00",13.06
"23/1/2025 20:00",10.81
"23/1/2025 21:00",8.51
"23/1/2025 22:00",5.76
"23/1/2025 23:00",5.15
"24/1/2025 0:00",9.78
"24/1/2025 1:00",8.55
"24/1/2025 2:00",4.17
"24/1/2025 3:00",3.78
"24/1/2025 4:00",3.21
"24/1/2025 5:00",3.47
"24/1/2025 6:00",2.54
"24/1/2025 7:00",3.04
"24/1/2025 8:00",2.05
"24/1/2025 9:00",6.26
"24/1/2025 10:00",10.62
"24/1/2025 11:00",11.43
"24/1/2025 12:00",10.28
"24/1/2025 13:00",11.16
"24/1/2025 14:00",13.1
