Uri	Method	Description
/Annual/MonitoringObjective/GroupName={GroupName}	GET	This returns the results of annual air quality objectives for monitoring sites filtered by 'GroupName'. Data returned in XML format
/Annual/MonitoringObjective/GroupName={GroupName}/Json	GET	This returns the results of annual air quality objectives for monitoring sites filtered by 'GroupName'. Data returned in JSON format
/Annual/MonitoringObjective/GroupName={GroupName}/Year={Year}	GET	This returns the results of annual air quality objectives for monitoring sites filtered by 'GroupName' and 'Year'. Data returned in XML format
/Annual/MonitoringObjective/GroupName={GroupName}/Year={Year}/Json	GET	This returns the results of annual air quality objectives for monitoring sites filtered by 'GroupName' and 'Year'. Data returned in JSON format
/Annual/MonitoringObjective/LocalAuthorityId={LocalAuthorityId}/Year={Year}	GET	This returns the results of annual air quality objectives for monitoring sites filtered by 'LocalAuthorityId' and 'Year'. Data returned in XML format
/Annual/MonitoringObjective/LocalAuthorityId={LocalAuthorityId}/Year={Year}/Json	GET	This returns the results of annual air quality objectives for monitoring sites filtered by 'LocalAuthorityId' and 'Year'. Data returned in JSON format
/Annual/MonitoringObjective/SiteCode={SiteCode}/StartDate={StartDate}	GET	This returns the results of annual air quality objectives for monitoring sites for SiteCode and StartDate. Data returned in XML format
/Annual/MonitoringObjective/SiteCode={SiteCode}/StartDate={StartDate}/Json	GET	This returns the results of annual air quality objectives for monitoring sites for SiteCode and StartDate. Data returned in JSON format
/Annual/MonitoringObjective/SiteCode={SiteCode}/Year={Year}	GET	This returns the results of annual air quality objectives for monitoring sites filtered by 'SiteCode' and 'Year'. Data returned in XML format
/Annual/MonitoringObjective/SiteCode={SiteCode}/Year={Year}/Json	GET	This returns the results of annual air quality objectives for monitoring sites filtered by 'SiteCode' and 'Year'. Data returned in JSON format
/Annual/MonitoringReport/SiteCode={SiteCode}/Year={Year}	GET	This returns the results of annual air quality report for monitoring site and Year. Data returned in XML format
/Annual/MonitoringReport/SiteCode={SiteCode}/Year={Year}/Json	GET	This returns the results of annual air quality report for monitoring site and Year. Data returned in JSON format
/Annualiser/Calculate/year={year}/site={site}/backA={backA}/backB={backB}/backC={backC}/backD={backD}/species={species}/mean={mean}/Json	GET	This returns the annualisation calculation!
/Annualiser/Sites/year={year}/species={species}/Json	GET	This returns sites which can be used in an annualisation calculation
/Daily/MonitoringIndex/GroupName={GroupName}/Date={Date}	GET	Returns the latest daily air quality monitoring indexes requested filtered by 'GroupName' and date. Currently the Group name would be 'London'. The health effect of these indexes can be found in the /Information/IndexHealthAdvice feed. Data returned in XML format
/Daily/MonitoringIndex/GroupName={GroupName}/Date={Date}/Json	GET	Returns the latest daily air quality monitoring indexes requested filtered by 'GroupName' and date. Currently the Group name would be 'London'. The health effect of these indexes can be found in the /Information/IndexHealthAdvice feed. Data returned in JSON format
