station_ref,label,station_name,station_type,station_exposure,region,longitude,latitude,service_ref,first_seen_at,last_seen_at,removed_at
TD0,"- National Physical Laboratory, Teddington","- National Physical Laboratory, Teddington",Suburban,,Richmond,-0.345714576446947,51.4243043441456,erg_laqn,,,2018-01-01 00:00:00
BG3,Barking and Dagenham - North Street,Barking and Dagenham - North Street,Kerbside,,Barking and Dagenham,0.074418,51.540444,erg_laqn,,,2011-05-25 00:00:00
BG1,Barking and Dagenham - Rush Green,Barking and Dagenham - Rush Green,Suburban,,Barking and Dagenham,0.177891,51.563752,erg_laqn,,,
BG2,Barking and Dagenham - Scrattons Farm,Barking and Dagenham - Scrattons Farm,Suburban,,Barking and Dagenham,0.132857,51.529389,erg_laqn,,,
BN2,Barnet - Finchley,Barnet - Finchley,Urban Background,,Barnet,-0.205992,51.591901,erg_laqn,,,2012-04-20 00:00:00
BN3,Barnet - Strawberry Vale,Barnet - Strawberry Vale,Urban Background,,Barnet,-0.172297542087178,51.6008848453589,erg_laqn,,,2002-05-15 00:00:00
BN1,Barnet - Tally Ho Corner,Barnet - Tally Ho Corner,Kerbside,,Barnet,-0.176607,51.614675,erg_laqn,,,2012-04-20 00:00:00
BX5,Bexley - Bedonwell,Bexley - Bedonwell,Suburban,,Bexley,0.133873839062683,51.4788023547334,erg_laqn,,,2004-04-08 00:00:00
BX2,Bexley - Belvedere,Bexley - Belvedere,Suburban,,Bexley,0.158914493927518,51.4906102082147,erg_laqn,,,
BX0,Bexley - Belvedere FDMS,Bexley - Belvedere FDMS,Suburban,,Bexley,0.158914493927518,51.4906102082147,erg_laqn,,,2022-01-28 00:00:00
BQ7,Bexley - Belvedere West,Bexley - Belvedere West,Urban Background,,Bexley,0.137279111232178,51.4946486813055,erg_laqn,,,
BQ8,Bexley - Belvedere West FDMS,Bexley - Belvedere West FDMS,Urban Background,,Bexley,0.137279111232178,51.4946486813055,erg_laqn,,,2022-02-23 00:00:00
BX4,Bexley - Erith,Bexley - Erith,Industrial,,Bexley,0.190836225974902,51.477670796298,erg_laqn,,,2014-12-19 00:00:00
BQ6,Bexley - Manor Road East Gravimetric,Bexley - Manor Road East Gravimetric,Industrial,,Bexley,0.190836225974902,51.477670796298,erg_laqn,,,2014-10-28 00:00:00
BQ5,Bexley - Manor Road West Gravimetric,Bexley - Manor Road West Gravimetric,Industrial,,Bexley,0.187404883999095,51.4781935083933,erg_laqn,,,2014-10-28 00:00:00
BX1,Bexley - Slade Green,Bexley - Slade Green,Suburban,,Bexley,0.184877126994369,51.4659832746662,erg_laqn,,,
BX9,Bexley - Slade Green FDMS,Bexley - Slade Green FDMS,Suburban,,Bexley,0.184877126994369,51.4659832746662,erg_laqn,,,2020-10-01 00:00:00
BQ9,Bexley - Slade Green Fidas,Bexley - Slade Green Fidas,Suburban,,Bexley,0.184877126994369,51.4659832746662,erg_laqn,,,
BX7,Bexley - Thames Road North,Bexley - Thames Road North,Roadside,,Bexley,0.195294,51.457159,erg_laqn,,,2010-03-23 00:00:00
BX6,Bexley - Thames Road North FDMS,Bexley - Thames Road North FDMS,Roadside,,Bexley,0.195294,51.457159,erg_laqn,,,2010-03-23 00:00:00
BX8,Bexley - Thames Road South,Bexley - Thames Road South,Roadside,,Bexley,0.194582,51.456887,erg_laqn,,,2010-04-15 00:00:00
BX3,Bexley - Thamesmead,Bexley - Thamesmead,Suburban,,Bexley,0.121617,51.510808,erg_laqn,,,2018-03-12 00:00:00
BQ3,Bexley 8 - Traffic(E fast),Bexley 8 - Traffic(E fast),Kerbside,,Bexley,0.194546362638148,51.4568546603968,erg_laqn,,,2010-04-13 00:00:00
BQ4,Bexley 8 - Traffic(E slow - nearest BX7),Bexley 8 - Traffic(E slow - nearest BX7),Kerbside,,Bexley,0.194546362638148,51.4568546603968,erg_laqn,,,2010-04-13 00:00:00
