laqn_code,laqn_name,laqn_lat,laqn_lon,laqn_lat_lon,aurn_uka_id,aurn_name,aurn_lat,aurn_lon,aurn_lat_lon,distance_m,name_ratio
BX1,Bexley - Slade Green,51.465983,0.184877,51.465983 0.184877,UKA00238,London Bexley,51.466030,0.184806,51.466030 0.184806,7.2,0.364
BQ9,Bexley - Slade Green Fidas,51.465983,0.184877,51.465983 0.184877,UKA00238,London Bexley,51.466030,0.184806,51.466030 0.184806,7.2,0.308
BL0,Camden - Bloomsbury,51.522287,-0.125848,51.522287 -0.125848,UKA00211,London Bloomsbury,51.522290,-0.125889,51.522290 -0.125889,2.9,0.722
CD1,Camden - Swiss Cottage,51.544219,-0.175284,51.544219 -0.175284,UKA00259,Camden Kerbside,51.544233,-0.175228,51.544233 -0.175228,4.2,0.541
CR8,Croydon - Norbury Manor,51.410039,-0.127523,51.410039 -0.127523,UKA01100,London Norbury Manor School,51.410040,-0.127480,51.410040 -0.127480,3.0,0.720
HG4,Haringey  - Priory Park South,51.583977,-0.125400,51.583977 -0.125400,UKA00568,London Haringey Priory Park South,51.584128,-0.125254,51.584128 -0.125254,19.6,0.839
HG1,Haringey - Haringey Town Hall,51.599302,-0.068218,51.599302 -0.068218,UKA00260,Haringey Roadside,51.599300,-0.068218,51.599300 -0.068218,0.2,0.522
LH0,Hillingdon - Harlington,51.488780,-0.441627,51.488780 -0.441627,UKA00472,London Harlington,51.488790,-0.441614,51.488790 -0.441614,1.4,0.800
HI0,Hillingdon - Keats Way,51.496309,-0.460826,51.496309 -0.460826,UKA00266,London Hillingdon,51.496330,-0.460861,51.496330 -0.460861,3.4,0.513
KC1,Kensington and Chelsea - North Ken,51.521047,-0.213492,51.521047 -0.213492,UKA00253,London N. Kensington,51.521050,-0.213419,51.521050 -0.213419,5.1,0.370
KF1,Kensington and Chelsea - North Ken FIDAS,51.521047,-0.213492,51.521047 -0.213492,UKA00253,London N. Kensington,51.521050,-0.213419,51.521050 -0.213419,5.1,0.333
HP1,Lewisham - Honor Oak Park,51.449673,-0.037415,51.449673 -0.037415,UKA00656,London Honor Oak Park,51.449674,-0.037418,51.449674 -0.037418,0.2,0.696
TD5,London Teddington Bushy Park,51.425256,-0.345608,51.425256 -0.345608,UKA00572,London Teddington Bushy Park,51.425286,-0.345606,51.425286 -0.345606,3.3,1.000
MR8,Marylebone Road - BAM,51.522509,-0.154622,51.522509 -0.154622,UKA00315,London Marylebone Road,51.522530,-0.154611,51.522530 -0.154611,2.4,0.698
SK5,Southwark - A2 Old Kent Road,51.480499,-0.059553,51.480499 -0.059553,UKA00558,Southwark A2 Old Kent Road,51.480499,-0.059550,51.480499 -0.059550,0.2,0.963
WM0,Westminster - Horseferry Road,51.494681,-0.131938,51.494681 -0.131938,UKA00435,London Westminster,51.494670,-0.131931,51.494670 -0.131931,1.3,0.468
MY1,Westminster - Marylebone Road,51.522540,-0.154590,51.522540 -0.154590,UKA00315,London Marylebone Road,51.522530,-0.154611,51.522530 -0.154611,1.8,0.667
