code,label,network,type,lat,lng,latoffset,lonoffset,html
EN7,Enfield - Prince of Wales School,LAQN,Urban Background,51.66864334727,-0.02200720557,0,0,publicdetails.asp?site=EN7&Maptype=Google&mapview=all
EN1,Enfield - Bush Hill Park,LAQN,Suburban,51.6450367266602,-6.61800662229116E-02,0,0,publicdetails.asp?site=EN1&Maptype=Google&mapview=all
EN4,Enfield - Derby Road,LAQN,Roadside,51.614864007,-0.0507658363689,0,0,publicdetails.asp?site=EN4&Maptype=Google&mapview=all
EN5,Enfield - Bowes Primary School,LAQN,Roadside,51.613865,-0.125338,0,0,publicdetails.asp?site=EN5&Maptype=Google&mapview=all
HG1,Haringey - Haringey Town Hall,mixed,Roadside,51.599302,-0.068218,0,0,publicdetails.asp?site=HG1&Maptype=Google&mapview=all
HG4,Haringey  - Priory Park South,AURN,Urban Background,51.5839769007709,-0.125400278484885,0,0,publicdetails.asp?site=HG4&Maptype=Google&mapview=all
HV3,Havering - Romford,LAQN,Roadside,51.572976,0.179079,0,0,publicdetails.asp?site=HV3&Maptype=Google&mapview=all
BG1,Barking and Dagenham - Rush Green,LAQN,Suburban,51.563752,0.177891,0,0,publicdetails.asp?site=BG1&Maptype=Google&mapview=all
IS6,Islington - Arsenal,LAQN,Urban Background,51.557895,-0.106989,0,0,publicdetails.asp?site=IS6&Maptype=Google&mapview=all
IS2,Islington - Holloway Road,LAQN,Roadside,51.555378,-0.116146,0,0,publicdetails.asp?site=IS2&Maptype=Google&mapview=all
BT5,Brent - Neasden Lane,LAQN,Industrial,51.552656,-0.248774,0,0,publicdetails.asp?site=BT5&Maptype=Google&mapview=all
BT4,Brent - Ikea,mixed,Roadside,51.552476,-0.258089,0,0,publicdetails.asp?site=BT4&Maptype=Google&mapview=all
CD1,Camden - Swiss Cottage,AURN,Kerbside,51.544219,-0.175284,0,0,publicdetails.asp?site=CD1&Maptype=Google&mapview=all
TH5,Tower Hamlets - Victoria Park,LAQN,Urban Background,51.5399327394691,-3.31740581778178E-02,0,0,publicdetails.asp?site=TH5&Maptype=Google&mapview=all
BT6,Brent - John Keble Primary School,LAQN,Roadside,51.537799,-0.247793,150,150,publicdetails.asp?site=BT6&Maptype=Google&mapview=all
BT8,Brent - ARK Franklin Primary Academy,LAQN,Roadside,51.5324054617809,-0.217718908639377,0,0,publicdetails.asp?site=BT8&Maptype=Google&mapview=all
BG2,Barking and Dagenham - Scrattons Farm,LAQN,Suburban,51.529389,0.132857,0,0,publicdetails.asp?site=BG2&Maptype=Google&mapview=all
WME,Westminster - Queens Park Gardens,LAQN,Urban Background,51.5286629697555,-0.20875365618309,0,0,publicdetails.asp?site=WME&Maptype=Google&mapview=all
HK6,Hackney - Old Street,mixed,Roadside,51.526454,-0.08491,0,0,publicdetails.asp?site=HK6&Maptype=Google&mapview=all
TH2,Tower Hamlets - Mile End Road,mixed,Roadside,51.5225462561171,-4.20823040635312E-02,0,0,publicdetails.asp?site=TH2&Maptype=Google&mapview=all
MY1,Westminster - Marylebone Road,mixed,Kerbside,51.52254,-0.15459,0,0,publicdetails.asp?site=MY1&Maptype=Google&mapview=all
MR8,Marylebone Road - BAM,other,Kerbside,51.5225093597419,-0.154622154656843,200,500,publicdetails.asp?site=MR8&Maptype=Google&mapview=all
BL0,Camden - Bloomsbury,AURN,Urban Background,51.522287,-0.125848,0,0,publicdetails.asp?site=BL0&Maptype=Google&mapview=all
KC1,Kensington and Chelsea - North Ken,mixed,Urban Background,51.5210467476039,-0.213492139585065,0,0,publicdetails.asp?site=KC1&Maptype=Google&mapview=all
KF1,Kensington and Chelsea - North Ken FIDAS,AURN,Urban Background,51.5210467476039,-0.213492139585065,0,500,publicdetails.asp?site=KF1&Maptype=Google&mapview=all
HV1,Havering - Rainham,LAQN,Roadside,51.520787459334,0.205460705694044,0,0,publicdetails.asp?site=HV1&Maptype=Google&mapview=all
TK3,Thurrock - Stanford-le-Hope,AURN,Roadside,51.518162,0.439548,125,280,publicdetails.asp?site=TK3&Maptype=Google&mapview=all
TH4,Tower Hamlets - Blackwall,mixed,Roadside,51.5150461674013,-8.41849265642741E-03,0,0,publicdetails.asp?site=TH4&Maptype=Google&mapview=all
GT1,Kensington and Chelsea - Station Walk,LAQN,Urban Background,51.5140519844289,-0.216532947379263,0,0,publicdetails.asp?site=GT1&Maptype=Google&mapview=all
WM6,Westminster - Oxford Street,LAQN,Kerbside,51.5139287404213,-0.152792701881935,0,0,publicdetails.asp?site=WM6&Maptype=Google&mapview=all
