Hourly data from Defra on 12/08/2025 23:59:18
Site Name,Bristol St Paul's
Site Type,Urban Background
Region,South West
Latitude,51.462839
Longitude,-2.584482
Notes:,[1] All Data GMT hour ending;  [2] Some shorthand is used V = Verified P = Provisionally Verified N = Not Verified S = Suspect [3] Unit of measurement (for pollutants) = ugm-3
Date,Time,Nitrogen dioxide,Status,Ozone,Status,PM10 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status
2025-01-01,00:00:00,4.14165,V,73.30871,V,12.561,V,6,V
2025-01-01,01:00:00,4.95739,V,73.24219,V,7.73,V,4,V
2025-01-01,02:00:00,7.97009,V,67.10541,V,4.831,V,5,V
2025-01-01,03:00:00,2.58975,V,74.38972,V,3.865,V,3,V
2025-01-01,04:00:00,5.26316,V,73.89079,V,5.797,V,0,V
2025-01-01,05:00:00,8.60104,V,71.09681,V,5.797,V,6,V
2025-01-01,06:00:00,5.60796,V,79.1794,V,6.763,V,7,V
2025-01-01,07:00:00,5.57423,V,78.83015,V,6.763,V,4,V
2025-01-01,08:00:00,7.78828,V,76.38542,V,7.73,V,4,V
2025-01-01,09:00:00,5.83384,V,71.94499,V,6.763,V,4,V
2025-01-01,10:00:00,3.34245,V,76.13596,V,3.865,V,4,V
2025-01-01,11:00:00,3.40849,V,80.42671,V,2.899,V,no data,V
2025-01-01,12:00:00,6.88891,V,77.63273,V,0,V,4,V
2025-01-01,13:00:00,6.57196,V,76.98413,V,2.899,V,2,V
2025-01-01,14:00:00,7.49342,V,77.43316,V,5.797,V,1,V
2025-01-01,15:00:00,12.25173,V,75.63703,V,14.493,V,6,V
2025-01-01,16:00:00,12.8372,V,64.36133,V,11.594,V,4,V
2025-01-01,17:00:00,10.06118,V,69.79961,V,19.324,V,4,V
2025-01-01,18:00:00,11.98625,V,65.2095,V,17.392,V,9,V
2025-01-01,19:00:00,18.93238,V,56.77767,V,21.256,V,10,V
2025-01-01,20:00:00,40.13909,V,26.84217,V,20.29,V,13,V
2025-01-01,21:00:00,18.746,V,41.85981,V,16.425,V,8,V
2025-01-01,22:00:00,38.90264,V,29.53636,V,18.358,V,11,V
2025-01-01,23:00:00,50.78771,V,1.44688,V,25.121,V,18,V
2025-01-02,00:00:00,49.65687,V,1.39699,V,27.054,V,13,V
2025-01-02,01:00:00,46.46225,V,0.99785,V,19.324,V,15,V
2025-01-02,02:00:00,18.07149,V,23.89851,V,14.493,V,6,V
2025-01-02,03:00:00,6.87971,V,46.30024,V,9.662,V,6,V
2025-01-02,04:00:00,5.20434,V,49.99229,V,13.527,V,7,V
2025-01-02,05:00:00,9.36735,V,50.49121,V,9.662,V,4,V
2025-01-02,06:00:00,22.17921,V,38.91615,V,11.594,V,3,V
2025-01-02,07:00:00,40.0067,V,18.80947,V,10.628,V,5,V
2025-01-02,08:00:00,44.25462,V,8.58151,V,9.662,V,5,V
2025-01-02,09:00:00,28.98194,V,21.60345,V,14.493,V,8,V
2025-01-02,10:00:00,23.6619,V,31.58195,V,12.561,V,9,V
2025-01-02,11:00:00,15.88921,V,41.71013,V,14.493,V,12,V
2025-01-02,12:00:00,12.17386,V,49.69293,V,14.493,V,8,V
2025-01-02,13:00:00,11.14139,V,54.93164,V,65.702,V,5,V
2025-01-02,14:00:00,11.00889,V,57.62584,V,18.358,V,3,V
2025-01-02,15:00:00,14.50497,V,54.73207,V,16.425,V,4,V
2025-01-02,16:00:00,40.6496,V,30.48432,V,21.256,V,12,V
2025-01-02,17:00:00,66.02513,V,7.08474,V,29.952,V,23,V
2025-01-02,18:00:00,69.74073,V,2.14538,V,34.783,V,25,V
2025-01-02,19:00:00,72.32776,V,2.54452,V,44.445,V,35,V
2025-01-02,20:00:00,71.40913,V,2.49463,V,46.378,V,32,V
2025-01-02,21:00:00,71.93004,V,3.79183,V,59.904,V,54,V
2025-01-02,22:00:00,64.83454,V,2.44473,V,44.445,V,33,V
2025-01-02,23:00:00,52.47171,V,1.84602,V,37.682,V,36,V
2025-01-03,00:00:00,49.44871,V,1.53004,V,35.749,V,27,V
2025-01-03,01:00:00,42.30145,V,1.33047,V,35.749,V,33,V
2025-01-03,02:00:00,39.23102,V,1.64645,V,37.682,V,33,V
2025-01-03,03:00:00,36.32491,V,1.09764,V,31.885,V,29,V
2025-01-03,04:00:00,33.67295,V,1.24731,V,38.648,V,25,V
2025-01-03,05:00:00,41.86775,V,0.74839,V,20.29,V,21,V
2025-01-03,06:00:00,41.25124,V,0.49893,V,25.121,V,15,V
2025-01-03,07:00:00,43.11104,V,0.79828,V,28.02,V,22,V
2025-01-03,08:00:00,51.78524,V,1.04774,V,34.783,V,20,V
2025-01-03,09:00:00,51.17731,V,1.29721,V,27.054,V,22,V
2025-01-03,10:00:00,57.04813,V,2.29506,V,36.716,V,22,V
2025-01-03,11:00:00,20.32014,V,38.81637,V,11.594,V,3,V
2025-01-03,12:00:00,14.87392,V,52.08777,V,12.561,V,4,V
2025-01-03,13:00:00,17.29371,V,51.28949,V,8.696,V,6,V
2025-01-03,14:00:00,13.79444,V,55.08132,V,16.425,V,4,V
2025-01-03,15:00:00,20.39896,V,51.78842,V,14.493,V,7,V
2025-01-03,16:00:00,27.57575,V,43.80562,V,8.696,V,6,V
2025-01-03,17:00:00,58.72583,V,15.26711,V,10.628,V,7,V
2025-01-03,18:00:00,71.4239,V,3.29291,V,28.986,V,19,V
2025-01-03,19:00:00,68.0377,V,2.24516,V,39.614,V,28,V
2025-01-03,20:00:00,71.13626,V,4.98925,V,66.668,V,64,V
2025-01-03,21:00:00,56.9032,V,2.54452,V,42.513,V,35,V
2025-01-03,22:00:00,50.93062,V,2.19527,V,41.547,V,33,V
2025-01-03,23:00:00,50.43377,V,2.09549,V,40.58,V,35,V
2025-01-04,00:00:00,47.3572,V,1.79613,V,41.547,V,38,V
2025-01-04,01:00:00,43.56101,V,1.9957,V,42.513,V,37,V
2025-01-04,02:00:00,46.57625,V,1.39699,V,32.851,V,27,V
2025-01-04,03:00:00,40.19711,V,1.19742,V,27.054,V,21,V
2025-01-04,04:00:00,40.64317,V,1.54667,V,24.155,V,20,V
2025-01-04,05:00:00,47.64666,V,0.59871,V,26.087,V,16,V
2025-01-04,06:00:00,45.63376,V,0.74839,V,18.358,V,16,V
2025-01-04,07:00:00,45.57147,V,0.79828,V,22.223,V,13,V
2025-01-04,08:00:00,40.31171,V,5.48818,V,16.425,V,11,V
2025-01-04,09:00:00,40.52086,V,13.12173,V,14.493,V,13,V
2025-01-04,10:00:00,47.81633,V,11.47528,V,13.527,V,13,V
2025-01-04,11:00:00,37.93165,V,19.80732,V,12.561,V,11,V
2025-01-04,12:00:00,36.0354,V,22.20216,V,16.425,V,10,V
2025-01-04,13:00:00,34.4956,V,22.50152,V,21.256,V,10,V
2025-01-04,14:00:00,26.48892,V,36.22196,V,18.358,V,5,V
2025-01-04,15:00:00,24.25678,V,41.31099,V,14.493,V,5,V
2025-01-04,16:00:00,20.63736,V,43.9054,V,13.527,V,9,V
2025-01-04,17:00:00,18.59702,V,48.24605,V,12.561,V,8,V
2025-01-04,18:00:00,18.344,V,47.04863,V,12.561,V,9,V
2025-01-04,19:00:00,13.49457,V,59.47186,V,9.662,V,9,V
2025-01-04,20:00:00,12.26779,V,64.46111,V,11.594,V,5,V
2025-01-04,21:00:00,10.45471,V,67.05552,V,9.662,V,4,V
2025-01-04,22:00:00,7.79937,V,71.89509,V,5.797,V,2,V
2025-01-04,23:00:00,7.50476,V,70.19875,V,6.763,V,2,V
2025-01-05,00:00:00,5.43197,V,69.51688,V,5.797,V,2,V
2025-01-05,01:00:00,6.61054,V,65.72505,V,5.797,V,0,V
2025-01-05,02:00:00,8.8915,V,57.62584,V,4.831,V,1,V
2025-01-05,03:00:00,9.51272,V,50.69078,V,3.865,V,3,V
2025-01-05,04:00:00,10.89221,V,42.70798,V,6.763,V,2,V
2025-01-05,05:00:00,16.47278,V,32.82927,V,6.763,V,4,V
2025-01-05,06:00:00,25.97369,V,19.80732,V,16.425,V,5,V
2025-01-05,07:00:00,38.92761,V,7.68345,V,7.73,V,7,V
2025-01-05,08:00:00,43.90206,V,1.79613,V,5.797,V,7,V
2025-01-05,09:00:00,48.01963,V,1.79613,V,9.662,V,7,V
2025-01-05,10:00:00,29.89825,V,30.28475,V,5.797,V,5,V
2025-01-05,11:00:00,13.60474,V,59.2224,V,1.932,V,3,V
2025-01-05,12:00:00,12.21198,V,60.91874,V,4.831,V,1,V
2025-01-05,13:00:00,10.57974,V,64.01208,V,3.865,V,1,V
2025-01-05,14:00:00,9.37048,V,67.60434,V,1.932,V,3,V
2025-01-05,15:00:00,10.14534,V,66.30713,V,1.932,V,1,V
2025-01-05,16:00:00,8.66342,V,68.20305,V,5.797,V,0,V
2025-01-05,17:00:00,10.31557,V,66.5067,V,3.865,V,1,V
2025-01-05,18:00:00,14.28712,V,63.66283,V,1.932,V,1,V
2025-01-05,19:00:00,10.25109,V,67.10541,V,3.865,V,1,V
2025-01-05,20:00:00,6.21506,V,75.88649,V,4.831,V,1,V
2025-01-05,21:00:00,7.99431,V,76.73467,V,6.763,V,2,V
2025-01-05,22:00:00,4.17641,V,80.27703,V,4.831,V,3,V
2025-01-05,23:00:00,3.67421,V,78.58069,V,7.73,V,3,V
2025-01-06,00:00:00,2.91612,V,76.16922,V,4.831,V,no data,V
2025-01-06,01:00:00,2.57492,V,75.37094,V,2.899,V,no data,V
2025-01-06,02:00:00,2.43958,V,73.8409,V,1.932,V,no data,V
2025-01-06,03:00:00,3.20727,V,70.29853,V,3.865,V,no data,V
2025-01-06,04:00:00,6.06994,V,49.09422,V,3.865,V,no data,V
2025-01-06,05:00:00,6.11088,V,43.60605,V,3.865,V,no data,V
2025-01-06,06:00:00,7.47226,V,49.84261,V,4.831,V,no data,V
2025-01-06,07:00:00,9.9289,V,59.871,V,4.831,V,no data,V
2025-01-06,08:00:00,12.35142,V,60.66928,V,1.932,V,no data,V
2025-01-06,09:00:00,12.2047,V,60.66928,V,7.73,V,no data,V
2025-01-06,10:00:00,no data,V,no data,V,no data,V,no data,V
2025-01-06,11:00:00,no data,V,no data,V,no data,V,no data,V
2025-01-06,12:00:00,no data,V,no data,V,no data,V,no data,V
2025-01-06,13:00:00,8.44809,V,67.05552,V,no data,V,no data,V
2025-01-06,14:00:00,8.68352,V,65.15961,V,no data,V,no data,V
2025-01-06,15:00:00,14.18366,V,57.82541,V,no data,V,no data,V
2025-01-06,16:00:00,19.74862,V,53.13551,V,no data,V,no data,V
2025-01-06,17:00:00,24.87343,V,46.20046,V,no data,V,no data,V
2025-01-06,18:00:00,18.48618,V,51.04003,V,no data,V,no data,V
2025-01-06,19:00:00,12.81544,V,56.42842,V,no data,V,no data,V
2025-01-06,20:00:00,14.53168,V,54.98154,V,no data,V,no data,V
2025-01-06,21:00:00,12.6312,V,56.5781,V,no data,V,no data,V
2025-01-06,22:00:00,8.55387,V,57.82541,V,no data,V,no data,V
2025-01-06,23:00:00,6.92635,V,59.52175,V,no data,V,no data,V
2025-01-07,00:00:00,5.36052,V,63.72935,V,no data,V,no data,V
2025-01-07,01:00:00,8.27783,V,58.00835,V,no data,V,no data,V
2025-01-07,02:00:00,6.55556,V,60.86885,V,no data,V,no data,V
2025-01-07,03:00:00,6.79038,V,57.8753,V,no data,V,no data,V
2025-01-07,04:00:00,21.2377,V,42.75787,V,no data,V,no data,V
2025-01-07,05:00:00,12.53603,V,52.43702,V,no data,V,no data,V
2025-01-07,06:00:00,13.86644,V,57.27659,V,no data,V,no data,V
2025-01-07,07:00:00,16.54859,V,53.68433,V,no data,V,no data,V
2025-01-07,08:00:00,15.80598,V,51.8882,V,no data,V,no data,V
2025-01-07,09:00:00,17.18201,V,50.09207,V,no data,V,no data,V
2025-01-07,10:00:00,11.53227,V,57.62584,V,no data,V,no data,V
2025-01-07,11:00:00,10.88613,V,59.72132,V,no data,V,no data,V
2025-01-07,12:00:00,9.61724,V,60.02068,V,no data,V,no data,V
2025-01-07,13:00:00,9.77727,V,58.92304,V,no data,V,no data,V
2025-01-07,14:00:00,13.6853,V,58.82326,V,no data,V,no data,V
2025-01-07,15:00:00,16.06248,V,53.43487,V,no data,V,no data,V
2025-01-07,16:00:00,23.49264,V,43.50626,V,no data,V,no data,V
2025-01-07,17:00:00,29.07191,V,37.61895,V,no data,V,no data,V
2025-01-07,18:00:00,20.81481,V,47.04863,V,no data,V,no data,V
2025-01-07,19:00:00,17.96275,V,47.04863,V,no data,V,no data,V
2025-01-07,20:00:00,22.17495,V,43.80562,V,no data,V,no data,V
2025-01-07,21:00:00,18.87436,V,45.2525,V,no data,V,no data,V
2025-01-07,22:00:00,54.51259,V,4.73979,V,no data,V,no data,V
2025-01-07,23:00:00,56.4151,V,1.39699,V,no data,V,no data,V
2025-01-08,00:00:00,53.76039,V,2.46136,V,no data,V,no data,V
2025-01-08,01:00:00,no data,V,10.31112,V,no data,V,no data,V
2025-01-08,02:00:00,46.33109,V,1.29721,V,no data,V,no data,V
2025-01-08,03:00:00,42.25333,V,1.09764,V,no data,V,no data,V
2025-01-08,04:00:00,46.63108,V,1.09764,V,no data,V,no data,V
2025-01-08,05:00:00,40.25502,V,0.89807,V,no data,V,no data,V
2025-01-08,06:00:00,43.53958,V,1.09764,V,no data,V,no data,V
2025-01-08,07:00:00,49.20651,V,1.29721,V,no data,V,no data,V
2025-01-08,08:00:00,55.86669,V,1.09764,V,no data,V,no data,V
2025-01-08,09:00:00,60.60622,V,1.29721,V,no data,V,no data,V
2025-01-08,10:00:00,63.06698,V,1.79613,V,no data,V,no data,V
2025-01-08,11:00:00,37.389,V,24.69679,V,no data,V,no data,V
2025-01-08,12:00:00,30.98553,V,29.23701,V,no data,V,no data,V
2025-01-08,13:00:00,35.34457,V,23.34969,V,no data,V,no data,V
2025-01-08,14:00:00,28.51769,V,27.59055,V,no data,V,no data,V
2025-01-08,15:00:00,31.77471,V,28.38883,V,no data,V,no data,V
2025-01-08,16:00:00,35.74411,V,24.79657,V,no data,V,no data,V
2025-01-08,17:00:00,40.87704,V,17.56216,V,no data,V,no data,V
2025-01-08,18:00:00,42.15915,V,15.51657,V,no data,V,no data,V
2025-01-08,19:00:00,44.30296,V,11.52517,V,no data,V,no data,V
2025-01-08,20:00:00,46.44139,V,10.22796,V,no data,V,no data,V
2025-01-08,21:00:00,44.89784,V,5.93721,V,no data,V,no data,V
2025-01-08,22:00:00,45.45874,V,6.33635,V,no data,V,no data,V
2025-01-08,23:00:00,42.86084,V,8.6314,V,no data,V,no data,V
2025-01-09,00:00:00,48.27559,V,5.72101,V,no data,V,no data,V
2025-01-09,01:00:00,43.23192,V,10.8433,V,no data,V,no data,V
2025-01-09,02:00:00,35.93255,V,16.71399,V,no data,V,no data,V
2025-01-09,03:00:00,38.15264,V,12.97205,V,no data,V,no data,V
2025-01-09,04:00:00,36.52572,V,12.52302,V,no data,V,no data,V
2025-01-09,05:00:00,35.08386,V,13.27141,V,no data,V,no data,V
2025-01-09,06:00:00,38.94176,V,8.73119,V,no data,V,no data,V
2025-01-09,07:00:00,50.75278,V,1.19742,V,no data,V,no data,V
2025-01-09,08:00:00,69.39668,V,1.9957,V,no data,V,no data,V
2025-01-09,09:00:00,80.07744,V,2.29506,V,no data,V,no data,V
2025-01-09,10:00:00,73.77659,V,7.88302,V,no data,V,no data,V
2025-01-09,11:00:00,22.77083,V,46.49981,V,no data,V,no data,V
2025-01-09,12:00:00,21.97634,V,49.69293,V,no data,V,no data,V
2025-01-09,13:00:00,15.8887,V,55.03143,V,no data,V,no data,V
2025-01-09,14:00:00,21.02429,V,51.98799,V,21.256,V,12,V
2025-01-09,15:00:00,18.38678,V,54.08347,V,8.696,V,6,V
2025-01-09,16:00:00,28.02638,V,43.65594,V,16.425,V,7,V
2025-01-09,17:00:00,32.00583,V,37.61895,V,20.29,V,7,V
2025-01-09,18:00:00,31.6229,V,38.36733,V,9.662,V,7,V
2025-01-09,19:00:00,30.74322,V,35.72303,V,8.696,V,9,V
2025-01-09,20:00:00,54.93901,V,13.02194,V,14.493,V,15,V
