current_name,table_3_1_name
"Automatic Hydrocarbon Network","Automatic Hydrocarbon Network"
"Automatic Urban and Rural Monitoring Network (AURN)","Automatic Urban and Rural Network (AURN)"
"Black Carbon","Black Carbon Network"
"Heavy Metals","UK Heavy Metals Network"
"Non-Automatic Hydrocarbon Network","Non-Automatic Hydrocarbon Network"
"Ozone / UV","Ozone / UV"
"PAH Deposition","PAH Deposition"
"PAH Digitel (solid phase)","Polycyclic Aromatic Hydrocarbons (PAH) Network"
"Particle Concentrations and Numbers Network","Particle Concentrations and Numbers (PCN) Network"
"Particle Size Composition","Particle Size Composition"
"Rural Automatic Mercury network","Rural Mercury Network"
"TOMPs","Toxic Organic Micropollutants (TOMPs) Network"
"UK Urban NO2 Network","UK Urban NO2 Network"
"UKEAP: Acid Gases & Aerosol Network","UK Eutrophying and Acidifying Pollutants: AGANet"
"UKEAP: National Ammonia Monitoring Network","UK Eutrophying and Acidifying Pollutants: NAMN"
"UKEAP: Precip-Net","UK Eutrophying and Acidifying Pollutants: PrecipNet"
"UKEAP: Rural NO2","UK Eutrophying and Acidifying Pollutants: NO2Net (rural diffusion tubes)"
