network,pollutants,notes
"Automatic Urban and Rural Network (AURN)","CO; NOx; NO2; SO2; O3; PM10; PM2.5","ALN is a subset of AURN."
"UK Heavy Metals Network","PM10 metals: As; Cd; Co; Cr; Cu; Fe; Mn; Ni; Pb; Se; V; Zn | Deposition metals: Al; Ba; Be; Cs; Li; Mo; Rb; Sb; Sc; Sn; Sr; Ti; U; W; Zn; Hg","Includes deposition metals and mercury deposition."
"Non-Automatic Hydrocarbon Network","Benzene",""
"Automatic Hydrocarbon Network","VOCs (range)",""
"Polycyclic Aromatic Hydrocarbons (PAH) Network","PAH species (incl. benzo[a]pyrene)","Includes deposition in practice."
"EMEP","PM10/PM2.5 aerosol; meteorology; precipitation","Presence in SOS CSV unclear."
"Particle Concentrations and Numbers (PCN) Network","Particle number; size distribution; anions; elemental carbon; organic carbon; PM10 speciation; PM2.5 speciation",""
"Toxic Organic Micropollutants (TOMPs) Network","Dioxins; dibenzofurans; toxic organics",""
"UK Eutrophying and Acidifying Pollutants: NO2Net (rural diffusion tubes)","NO2",""
"UK Eutrophying and Acidifying Pollutants: AGANet","HNO3; HONO; SO2; Ca; Cl; Mg; Na; NO2; NO3; SO4",""
"UK Eutrophying and Acidifying Pollutants: NAMN","NH3; NH4+",""
"UK Eutrophying and Acidifying Pollutants: PrecipNet","Ca; Mg; Na; K; NH4; SO4; Cl; NO3",""
"Black Carbon Network","Black Carbon",""
"Rural Mercury Network","PM2.5 mercury; reactive Hg; elemental Hg; total gaseous Hg",""
"UK Urban NO2 Network","NO2","Diffusion tubes, urban traffic."
