dup_id,source,connector_code,station_id,station_ref,station_name,timeseries_id,timeseries_ref,timeseries_label,pollutant,last_value,last_value_at,distance_m,lat_lon,aurn_uk_air_id,aurn_networks
DUP000001,aurn,aurn_register,,UKA00212,Belfast Centre,,,,co,,,0,54.599650 -5.928833,UKA00212,Automatic Urban and Rural Monitoring Network (AURN); Black Carbon; Heavy Metals; Non-Automatic Hydrocarbon Network; UKEAP: National Ammonia Monitoring Network
DUP000001,json,openaq,16503,2527,EEA Belfast Centre - UKA00212,1826,11438892,Belfast Centre - UKA00212,co,209.556,2026-02-19 08:00:00+00,0.000,54.599650 -5.928833,,
DUP000001,json,uk_air_sos,272,760,Belfast Centre,,,Belfast Centre-Carbon monoxide (air),co,,,0.000,54.599650 -5.928833,,
DUP000002,aurn,aurn_register,,UKA00217,Cardiff Centre,,,,co,,,0,51.481780 -3.176250,UKA00217,Automatic Urban and Rural Monitoring Network (AURN); Black Carbon
DUP000002,json,openaq,16486,2485,DEFRA Cardiff Centre,1756,11438890,Cardiff Centre,co,186.272,2026-02-19 15:00:00+00,0.000,51.481780 -3.176250,,
DUP000002,json,uk_air_sos,494,815,Cardiff Centre,,,Cardiff Centre-Carbon monoxide (air),co,,,0.000,51.481780 -3.176250,,
DUP000003,aurn,aurn_register,,UKA00222,Leeds Centre,,,,co,,,0,53.803780 -1.546472,UKA00222,Automatic Urban and Rural Monitoring Network (AURN); Non-Automatic Hydrocarbon Network
DUP000003,json,openaq,16501,2523,DEFRA Leeds Centre,1816,11438891,Leeds Centre,co,116.42,2026-02-19 15:00:00+00,0.000,53.803780 -1.546472,,
DUP000003,json,uk_air_sos,1268,980,Leeds Centre,,,Leeds Centre-Carbon monoxide (air),co,,,0.000,53.803780 -1.546472,,
DUP000004,aurn,aurn_register,,UKA00253,London N. Kensington,,,,co,,,0,51.521050 -0.213419,UKA00253,Automatic Urban and Rural Monitoring Network (AURN); Black Carbon
DUP000004,json,openaq,16383,155,DEFRA London N. Kensington,1453,1304615,London N. Kensington,co,139.704,2026-02-19 15:00:00+00,5.051,51.521050 -0.213492,,
