source_field,stations_column,transform_or_notes,suggested_storage,example_source_field
id,station_ref,Use SOS station id as unique station identifier (with connector_id/service_ref).,stations.station_ref,id
UK-AIR SOS (connector code),service_ref,Set service_ref to connector_code value for uk_air_sos.,stations.service_ref,N/A
UK-AIR SOS connector id,connector_id,Lookup connectors.id for uk_air_sos connector.,stations.connector_id,N/A
label,label,Use SOS label as human-friendly label.,stations.label,label
label,station_name,Derive a cleaned station_name from label when possible.,stations.station_name,label
properties.stationType,station_type,Map SOS stationType directly (often AURN but may vary).,stations.station_type,stationType
properties.region,region,Map SOS region value directly when present.,stations.region,region
geometry.coordinates,geometry,Build geography point from lon/lat (SRID 4326).,stations.geometry,geometry.coordinates
properties.geometry.coordinates,geometry,Fallback for geometry when nested under properties.,stations.geometry,properties.geometry.coordinates
properties.longitude/latitude,geometry,Fallback to lon/lat fields when geometry is absent.,stations.geometry,properties.longitude/latitude
properties.operator,N/A,Optional operator/owner metadata if present.,station_metadata.attributes.operator,operator
properties.status,N/A,Optional station status if present.,station_metadata.attributes.status,status
