"UK-AIR ID","EU Site ID","EMEP Site ID","Site Name","Environment Type","Zone","Start Date","End Date","Latitude","Longitude","Northing","Easting","Altitude (m)","Networks","AURN Pollutants Measured","Site Description"
"UKA00933","GB1375A","","Aberdeen Erroll Park","Urban Background","North East Scotland","2021-10-01","","57.157400","-2.094770","807396.47","394366.05","20","Automatic Urban and Rural Monitoring Network (AURN)","",""
"UKA00513","GB0923A","","Aberdeen Union Street Roadside","Urban Traffic","North East Scotland","2008-01-01","2024-12-31","57.144555","-2.106472","805967.60","393655.92","26","UK Urban NO2 Network","","The monitoring station is within a small self-contained housing located on the north side of the A9013 Union Street, near the junction with Bon Accord Street. This location is within a busy commercial area. The monitoring station is located approximately 3 metres from the kerb."
"UKA00615","GB1057A","","Aberdeen Wellington Road","Urban Traffic","North East Scotland","2016-02-09","","57.133888","-2.094198","804779.00","394397.00","19","Automatic Urban and Rural Monitoring Network (AURN); UK Urban NO2 Network","","This site is situated approximately 2m from the roadside on Wellington Road, Adjacent to 117 Menzies Road, Aberdeen "
"UKA00635","GB1076R","","Ainsdale Dunes and Sands","Rural Background","North West & Merseyside","2016-11-01","","53.587784","-3.075684","410671.59","328891.25","9","UKEAP: National Ammonia Monitoring Network; UKEAP: Precip-Net","",""
"UKA00410","GB0191R","GB0191R","Alice Holt 2","Rural Background","South East","2000-08-03","","51.173573","-0.850113","142220.88","480483.39","119","UKEAP: National Ammonia Monitoring Network","",""
"UKA00086","GB0160R","GB0160R","Allt a'Mharcaidh","Rural Background","Highland","1985-12-29","","57.124167","-3.856667","805223.18","287691.01","366","UKEAP: Acid Gases & Aerosol Network; UKEAP: National Ammonia Monitoring Network; UKEAP: Precip-Net; UKEAP: Rural NO2","",""
"UKA00934","GB1376R","GB1376R","Allt a'Mharcaidh ECN","Rural Background","Highland","1997-04-10","","57.115000","-3.831944","804162.40","289160.20","692.62","UKEAP: National Ammonia Monitoring Network","",""
"UKA00541","GB0996A","","Armagh Roadside","Urban Traffic","Northern Ireland","2009-01-01","","54.353728","-6.654558","505347.21","97683.90","41","Automatic Urban and Rural Monitoring Network (AURN); PAH Digitel (solid phase)","","The monitoring station is within a self-contained, air-conditioned housing at the junction of Railway Street and the A29 Lonsdale Road. The immediate area is residential with commercial and light industrial areas nearby. The monitoring station is located approximately 4.5 metres from the kerb."
"UKA01118","GB1560A","","Ashington Centre","Urban Background","North East","2025-12-22","","55.182956","-1.567043","587715.10","427668.30","39","Automatic Urban and Rural Monitoring Network (AURN)","",""
"UKA00137","GB0031R","GB0031R","Aston Hill","Rural Background","North Wales","1986-06-26","","52.503850","-3.034178","290053.08","329898.90","370","Automatic Urban and Rural Monitoring Network (AURN)","","The monitoring station is within a self-contained, air conditioned housing located in a field on the Welsh-English border. The nearest road is an access-only road for nearby farm buildings and is approximately 400 metres from the monitoring station. The surrounding area is rural and generally open with the nearest trees approximately 50 metres distance from the station."
